name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"50.99461, 5.53972",2018-03-13T00:00:00,9,5.8,7.3,89.24,0.004,100,rain,0,0,30.9,24,217,995.8,91.4,14.5,0,0,0,,"Rain, Overcast",rain,"06465099999,06477099999,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T01:00:00,8.6,5.2,7.5,92.85,0.582,100,rain,0,0,41.4,24,225,996.2,91.4,13.2,0,0,0,,"Rain, Overcast",rain,"06465099999,06477099999,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T02:00:00,8.4,5,7.2,92.2,0.031,100,rain,0,0,33,24.6,220,995.9,98.8,11.9,0,0,0,,"Rain, Overcast",rain,"06465099999,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T03:00:00,8.2,4.6,7.2,93.6,0.008,100,rain,0,0,36.6,25.9,220,996,100,6.9,0,0,0,,"Rain, Overcast",rain,"06465099999,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T04:00:00,8,4.4,7,93.25,0.015,100,rain,0,0,36.6,25.2,219,995.9,100,10.4,0,0,0,,"Rain, Overcast",rain,"06465099999,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T05:00:00,8.1,4.5,7.1,93.54,0.019,100,rain,0,0,38.6,25,225,996.7,98.8,7.5,0,0,0,,"Rain, Overcast",rain,"06465099999,06477099999,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T06:00:00,8,4.3,6.8,92.21,0,0,,0,0,39.2,25.4,240,997,100,8,0,0,0,,Overcast,cloudy,"06465099999,06477099999,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T07:00:00,7,3.2,6.1,94.43,1.446,100,rain,0,0,42.8,23.5,250,997.8,96.2,4.8,7,0,0,,"Rain, Overcast",rain,"06465099999,06477099999,02110,E8782,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T08:00:00,6.5,2.3,5.5,93.58,0.037,100,rain,0,0,46.6,26.2,251,998.5,96.2,6,12,0,0,,"Rain, Overcast",rain,"06465099999,06477099999,02110,D8201,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T09:00:00,6.2,2.2,5.2,93.73,0.007,100,rain,0,0,46.5,23.5,262,999.7,100,7.2,33,0.1,0,,"Rain, Overcast",rain,"06465099999,06477099999,02110,D8201,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T10:00:00,5.9,2.1,5,93.81,0.011,100,rain,0,0,46.9,22,266,1001.1,96.2,6.8,33,0.1,0,,"Rain, Overcast",rain,"06465099999,06477099999,02110,D8201,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T11:00:00,5.8,2.1,4.8,93.75,0.022,100,rain,0,0,37.3,19.5,279,1002.4,96.2,6.9,55,0.2,1,,"Rain, Overcast",rain,"06465099999,06477099999,02110,D8201,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T12:00:00,5.6,1.8,5,96.01,0.03,100,rain,0,0,36.9,20.5,286,1004,96.2,8.4,45,0.2,0,,"Rain, Overcast",rain,"06465099999,06477099999,02110,D8201,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T13:00:00,5.4,1.7,4.3,92.32,4.282,100,rain,0,0,46.9,19.8,294,1005.3,100,8.9,53,0.2,1,,"Rain, Overcast",rain,"06465099999,06477099999,02110,D8201,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T14:00:00,5.3,1.9,4.1,91.91,0.022,100,rain,0,0,33.1,17,289,1006.4,100,9.1,75,0.3,1,,"Rain, Overcast",rain,"06465099999,06477099999,02110,D8201,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-03-13T15:00:00,5.3,2.1,4.4,93.96,0.03,100,rain,0,0,35.7,15.2,294,1007.5,96.2,7.9,33,0.1,0,,"Rain, Overcast",rain,"06465099999,06477099999,02110,D8201,06479099999,06377099999,06380099999"
