name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"50.99461, 5.53972",2018-06-19T00:00:00,15.2,15.2,12.4,83.56,0,0,,0,0,13.8,7.1,238,1022.3,0,18.1,0,0,0,,Clear,clear-night,"06465099999,06477099999,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-06-19T01:00:00,14.6,14.6,12.4,86.37,0,0,,0,0,8.2,8.8,226,1022.3,0,19.4,0,0,0,,Clear,clear-night,"06465099999,06477099999,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-06-19T02:00:00,14.5,14.5,11.7,83.71,0,0,,0,0,29.2,11.3,221,1022.3,0,16.9,0,0,0,,Clear,clear-night,"06465099999,06477099999,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-06-19T03:00:00,13.8,13.8,11.4,85.74,0,0,,0,0,15.3,10,219,1022.4,0,18.1,0,0,0,,Clear,clear-night,"06465099999,06477099999,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-06-19T04:00:00,13.5,13.5,11.6,88.63,0,0,,0,0,15.3,10.7,218,1022.6,0,16.4,0,0,0,,Clear,clear-night,"06465099999,06477099999,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-06-19T05:00:00,13.8,13.8,12.2,90.12,0,0,,0,0,18.1,10.7,226,1022.8,72.8,15.6,0,0,0,,Partially cloudy,partly-cloudy-night,"06465099999,06477099999,02110,06377099999,06380099999"
"50.99461, 5.53972",2018-06-19T06:00:00,14.7,14.7,13.1,89.83,0,0,,0,0,18.1,13.2,229,1023.3,98.8,14.1,7,0,0,,Overcast,cloudy,"06465099999,06477099999,E5682,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-06-19T07:00:00,15.3,15.3,13.6,89.88,0,0,,0,0,15.7,10.1,213,1023.3,98.8,13.1,26,0.1,0,,Overcast,cloudy,"06465099999,06477099999,E5682,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-06-19T08:00:00,16.3,16.3,14.3,87.65,0,0,,0,0,18.6,11.9,219,1023.6,98.8,13.8,77,0.3,1,,Overcast,cloudy,"06465099999,06477099999,E5682,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-06-19T09:00:00,17.1,17.1,14.9,87.06,0,0,,0,0,21.7,14.1,229,1023.8,98.8,13.1,80,0.3,1,,Overcast,cloudy,"06465099999,06477099999,E5682,02110,06479099999,06377099999,06380099999"
"50.99461, 5.53972",2018-06-19T10:00:00,17.6,17.6,15.1,84.89,0,0,,0,0,21.9,14.3,238,1024.3,98.2,13.6,111,0.4,1,,Overcast,cloudy,"06465099999,06477099999,E5682,02110,06479099999,06377099999,06380099999"
